,Training Files,Training Labels
0,data\down\00176480_nohash_0.wav,down
1,data\down\004ae714_nohash_0.wav,down
2,data\down\00b01445_nohash_0.wav,down
3,data\down\00b01445_nohash_1.wav,down
4,data\down\00f0204f_nohash_0.wav,down
5,data\down\0132a06d_nohash_0.wav,down
6,data\down\0132a06d_nohash_1.wav,down
7,data\down\0132a06d_nohash_2.wav,down
8,data\down\0132a06d_nohash_3.wav,down
9,data\down\0132a06d_nohash_4.wav,down
10,data\down\0137b3f4_nohash_0.wav,down
11,data\down\0137b3f4_nohash_1.wav,down
12,data\down\0137b3f4_nohash_2.wav,down
13,data\down\0137b3f4_nohash_3.wav,down
14,data\down\0137b3f4_nohash_4.wav,down
15,data\down\014f9f65_nohash_0.wav,down
16,data\down\016e2c6d_nohash_0.wav,down
17,data\down\016e2c6d_nohash_1.wav,down
18,data\down\016e2c6d_nohash_2.wav,down
19,data\down\019fa366_nohash_0.wav,down
20,data\down\01b4757a_nohash_0.wav,down
21,data\down\01bb6a2a_nohash_0.wav,down
22,data\down\01bb6a2a_nohash_1.wav,down
23,data\down\01bb6a2a_nohash_2.wav,down
24,data\down\01bb6a2a_nohash_3.wav,down
25,data\down\01bcfc0c_nohash_0.wav,down
26,data\down\01d22d03_nohash_0.wav,down
27,data\down\022cd682_nohash_0.wav,down
28,data\down\02746d24_nohash_0.wav,down
29,data\down\02746d24_nohash_1.wav,down
30,data\down\030ec18b_nohash_0.wav,down
31,data\down\030ec18b_nohash_1.wav,down
32,data\down\035de8fe_nohash_0.wav,down
33,data\down\037c445a_nohash_0.wav,down
34,data\down\03cf93b1_nohash_0.wav,down
35,data\down\03cf93b1_nohash_1.wav,down
36,data\down\0447d7c1_nohash_0.wav,down
37,data\down\0447d7c1_nohash_1.wav,down
38,data\down\0447d7c1_nohash_2.wav,down
39,data\down\0474c92a_nohash_0.wav,down
40,data\down\05739450_nohash_0.wav,down
41,data\down\05b2db80_nohash_0.wav,down
42,data\down\05b2db80_nohash_1.wav,down
43,data\down\05b2db80_nohash_2.wav,down
44,data\down\05cf43ef_nohash_0.wav,down
45,data\down\06076b6b_nohash_0.wav,down
